Experimental	Predicted	Corrected Predicted
28.79	25.3	33.53269360828686
29.0	25.3	33.53269360828686
37.07	34.14	40.180969863727825
36.0	34.65	40.56745598143818
46.0	36.69	42.11659869048832
60.0	36.69	42.11659869048832
54.44	37.42	42.67219198352536
28.79	43.9	47.63275820201776
50.4	43.9	47.63275820201776
50.4	44.04	47.74050073426074
41.98	44.04	47.74050073426074
37.07	44.04	47.74050073426074
86.87	85.85	80.99537064484126
95.0	85.85	80.99537064484126
102.9	86.91	81.86641254811661
103.31	98.26	91.27973286228806
80.0	98.26	91.27973286228806
60.0	108.12	99.58587115494885
330.0	340.0	329.3862659552447
